ID,network,p,CC,Sp,Rg
1594908935669.0,ws,1.0,0.0014818030225634397,3.642795399539954,691.0436581141305
1595043987119.0,ws,0.021544346900318832,0.6538453940091555,6.782381298129813,1141.349455300947
1594972968393.0,ws,0.01,0.6807950967823027,8.94303412341234,1513.7071530769945
1595088263126.0,ws,0.1,0.5130172331435335,4.821190379037904,812.0928132298858
1587440437374.0,ws,1.0,0.0015039270662532207,3.642911791179118,690.9718224048277
1587440099709.0,ws,0.46415888336127775,0.10786555686478859,3.778883408340834,694.1723156475318
1587424752824.0,ws,0.021544346900318832,0.6560808980123763,6.871367696769677,1156.0256813270587
1587440118229.0,ws,1.0,0.001495968714463899,3.643181398139814,690.4756922179055
1587411328269.0,ws,0.004641588833612777,0.6907511579760108,11.96636189618962,2026.5308772542946
1594792848511.0,ws,0.0021544346900318843,0.6956669467787113,17.554418481848185,2848.480292090969
1587400770047.0,ws,0.001,0.6980087184873948,27.0774798679868,4211.909889853428
1594710985581.0,ws,0.01,0.6774311784457372,8.516055785578558,1443.499646898008
1595072777882.0,ws,0.46415888336127775,0.10910752057029734,3.77911299129913,694.6600165951576
1595099208902.0,ws,1.0,0.0014926916829251784,3.642793639363936,691.0653358892589
1587409601815.0,ws,0.004641588833612777,0.6905504190907131,11.662992819281929,1989.8892270785338
1594643243730.0,ws,0.01,0.6785109552160946,8.620780618061806,1460.2317105936547
1587380686095.0,ws,0.21544346900318823,0.34257814284707977,4.230472127212721,731.3692508590717
1595168651225.0,ws,0.46415888336127775,0.10975671187303447,3.7815136513651364,694.6908083775694
1587440399695.0,ws,1.0,0.0014988660547060179,3.642692709270927,691.1041613880129
1587439652467.0,ws,0.46415888336127775,0.10817002365049189,3.7790038403840382,694.0306504769185
1587440143341.0,ws,1.0,0.0015887696963600853,3.6432667266726675,690.368222772581
1595083446250.0,ws,1.0,0.001570029708594253,3.6432861686168616,690.5632807391437
1587405101374.0,ws,0.0021544346900318843,0.6958694333117861,17.982027362736275,2913.511414671585
1587371452539.0,ws,0.001,0.6981576960784313,29.441503510351033,4446.752908256658
1595061906159.0,ws,0.1,0.5134705374158753,4.823025882588259,812.7326765626783
1587376438861.0,ws,0.021544346900318832,0.6584467577692344,6.99078397839784,1176.0887951862649
1587396140496.0,ws,0.001,0.6978409733893556,25.024560536053606,3908.301777071178
1595267336064.0,ws,1.0,0.0015127639110489425,3.643160776077608,690.5788648409264
1587381058422.0,ws,1.0,0.001527205424008695,3.6427146714671466,691.366635940598
1587400148676.0,ws,0.001,0.6974673497091143,24.474794459445945,3896.117393563583
1587424823317.0,ws,0.021544346900318832,0.6557520911725014,6.86218601860186,1155.6357688730156
1587439751602.0,ws,0.46415888336127775,0.11140654935911519,3.7832643664366437,694.4638349110784
1595080134886.0,ws,0.004641588833612777,0.689401000143647,11.278026182618262,1905.7652800704077
1587401395136.0,ws,0.001,0.697762338935574,26.461978797879787,4024.6145265473215
1594726532666.0,ws,0.0021544346900318843,0.6957816993464052,17.901076707670768,2909.0000062547697
1595061347223.0,ws,0.046415888336127774,0.6089528110683606,5.6849370337033704,950.2424556678426
1587369934018.0,ws,0.001,0.6982965056022408,31.632361136113612,4444.541300973887
1587417314053.0,ws,0.01,0.6791378919111503,8.697664486448645,1476.6980494239065
1587422584285.0,ws,0.021544346900318832,0.6561857131422069,6.885344174417442,1160.0692027396008
1595088583746.0,ws,0.46415888336127775,0.11071908319633633,3.7820702470247025,694.634565669918
1587433158830.0,ws,0.1,0.517429833112364,4.844209520952095,815.7303897054412
1594900437081.0,ws,0.01,0.6793691458378222,8.84472403240324,1491.8723139435733
1595018109623.0,ws,0.1,0.5130975452213764,4.81746504650465,812.0179883057261
1587370571952.0,ws,0.001,0.697777156862745,25.561216661666165,3949.1973584275993
1587431414445.0,ws,0.046415888336127774,0.6067315727736317,5.646875707570757,944.8579021091891
1594879931139.0,ws,0.01,0.6788426578323636,8.669173697369738,1466.1420369176976
1587433262612.0,ws,0.1,0.5127295755938248,4.819831123112311,812.3015939412489
